Group	Type	Subtype_name	Subtype	Gene_count	Protein_count	Gene_accessions	Protein_accessions
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicases with Domain of unknown function 1605	DHX_DUF1605	12	14	"LOC101860305, LOC101860724, LOC101858186, LOC101845337, LOC101848058, LOC101861979, LOC101857366, LOC101860158, LOC101862029, LOC101845366, LOC101848799, LOC101858636"	"XP_005090962.1, XP_005092201.1, XP_005099846.1, XP_005101073.3, XP_005104600.1, XP_005106554.1, XP_005108328.2, XP_012936289.1, XP_012936672.1, XP_012941440.1, XP_012944942.1, XP_012944943.1, XP_012946325.2, XP_035826324.1"
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DHX15	DHX15	1	1	LOC101860724	XP_005092201.1
Immune receptor	DExD/H-box helicases	ATP-dependent RNA helicase DHX9	DHX9	1	1	LOC101848799	XP_012946325.2
Immune receptor	Gene associated with VDJ recombination	RAG-like	RAG-like	1	1	LOC118477733	XP_035825829.1
Immune receptor	lectins	Apextrin	Apextrin	15	15	"LOC101856539, LOC101854311, LOC101845616, LOC101855248, LOC101854591, LOC101848075, LOC101850116, LOC101850601, LOC101864043, LOC101848513, LOC101853471, LOC106013285, LOC106014219, LOC101854104, LOC101845570"	"XP_005088874.2, XP_005092781.2, XP_005096035.1, XP_005096773.1, XP_005103935.1, XP_005108713.2, XP_005108722.1, XP_005108724.2, XP_005113132.1, XP_012936733.1, XP_012940199.1, XP_012944012.1, XP_012946907.2, XP_035826903.1, XP_035827184.1"
Immune receptor	lectins	Chitinases	Chi-lectin	33	34	"LOC101847165, LOC101863661, LOC101862266, LOC101848297, LOC101856395, LOC101856403, LOC106011049, LOC101861879, LOC106011596, LOC101859411, LOC101851415, LOC101849137, LOC101860665, LOC101862518, LOC101847358, LOC101846901, LOC101855692, LOC106012930, LOC101864026, LOC106013636, LOC101851703, LOC101852146, LOC101847177, LOC101858530, LOC101847481, LOC101862497, LOC101853555, LOC106011948, LOC101847128, LOC118477181, LOC101849796, LOC118479065, LOC101851916"	"XP_005090543.1, XP_005095697.2, XP_005097133.2, XP_005100833.1, XP_005112658.1, XP_005113563.3, XP_012934750.2, XP_012935623.1, XP_012935624.1, XP_012937212.1, XP_012938466.1, XP_012938855.2, XP_012939965.1, XP_012940168.1, XP_012940863.1, XP_012941335.2, XP_012941342.2, XP_012941948.1, XP_012942741.1, XP_012944390.1, XP_012945342.1, XP_012946387.2, XP_012946391.2, XP_035824119.1, XP_035824687.1, XP_035824887.1, XP_035825300.1, XP_035825783.1, XP_035826008.1, XP_035827212.1, XP_035827213.1, XP_035828555.1, XP_035829576.1, XP_035829580.1"
Immune receptor	lectins	VIgL _C-type lectin-related protein	CREP	2	2	"LOC101860578, LOC101862063"	"XP_005100118.1, XP_005106994.1"
Immune receptor	lectins	C-type lectin domain containing proteins	CTLDC	146	166	"LOC101856539, LOC101852820, LOC101854236, LOC101854311, LOC101852226, LOC101852455, LOC101852671, LOC101845153, LOC101853372, LOC101858613, LOC101862786, LOC101850944, LOC101853844, LOC101856086, LOC101864054, LOC101863736, LOC101862721, LOC101849838, LOC101847033, LOC101855944, LOC101854408, LOC101854636, LOC101864224, LOC101864461, LOC101851189, LOC101847725, LOC101849928, LOC101854019, LOC101861585, LOC101850652, LOC101860576, LOC101850724, LOC101853622, LOC101860578, LOC101847662, LOC101862738, LOC101856589, LOC101856824, LOC101852709, LOC101849230, LOC101852715, LOC101858124, LOC101860995, LOC101855362, LOC101862063, LOC101861071, LOC101860525, LOC101860924, LOC101861611, LOC101848075, LOC101864181, LOC101855058, LOC101852437, LOC101853976, LOC101856135, LOC101861241, LOC101853503, LOC101849423, LOC101855840, LOC101855690, LOC101862918, LOC101851693, LOC101852068, LOC101853434, LOC101851011, LOC101863161, LOC101859383, LOC101849991, LOC101846062, LOC101848648, LOC106011313, LOC101855092, LOC101847865, LOC106011415, LOC101861573, LOC101848960, LOC106011439, LOC106011444, LOC101846728, LOC101848513, LOC106011653, LOC101856422, LOC101856652, LOC101855487, LOC101863509, LOC101846962, LOC101861283, LOC101860819, LOC101856901, LOC101849055, LOC106012171, LOC101846082, LOC106012382, LOC101860986, LOC101845349, LOC101847515, LOC101857202, LOC101849399, LOC101847138, LOC101853257, LOC101855048, LOC101848546, LOC106013103, LOC101861846, LOC101850205, LOC106013318, LOC106013570, LOC106013578, LOC101851379, LOC101846546, LOC106013758, LOC106013806, LOC106013813, LOC106010983, LOC101849671, LOC106011126, LOC118477357, LOC101854484, LOC118477470, LOC106011660, LOC101859406, LOC101849463, LOC101855341, LOC118477160, LOC101855803, LOC101852029, LOC118478025, LOC101854104, LOC118478149, LOC118478151, LOC118478280, LOC118478382, LOC106012871, LOC101845804, LOC101862450, LOC118478615, LOC101862454, LOC118478634, LOC101848151, LOC118478753, LOC101853899, LOC118478911, LOC118479032, LOC101855544, LOC118479087, LOC101846266"	"XP_005088874.2, XP_005091474.3, XP_005092434.3, XP_005092781.2, XP_005092853.1, XP_005092854.1, XP_005092855.1, XP_005093169.1, XP_005093468.2, XP_005093933.1, XP_005093950.1, XP_005094348.1, XP_005094621.3, XP_005094809.1, XP_005095363.1, XP_005095618.1, XP_005096110.1, XP_005096750.2, XP_005096983.1, XP_005097625.3, XP_005097793.1, XP_005097794.1, XP_005098601.1, XP_005098602.1, XP_005098630.1, XP_005098706.2, XP_005098890.2, XP_005098908.1, XP_005099537.1, XP_005099570.1, XP_005099697.2, XP_005099897.1, XP_005099909.1, XP_005100118.1, XP_005100399.1, XP_005101829.2, XP_005103183.1, XP_005103184.1, XP_005103516.1, XP_005105036.1, XP_005105050.1, XP_005105855.1, XP_005105856.1, XP_005105858.1, XP_005105859.1, XP_005105951.1, XP_005105952.1, XP_005106095.1, XP_005106994.1, XP_005107410.2, XP_005107571.2, XP_005107573.1, XP_005107574.1, XP_005107577.2, XP_005108713.2, XP_005109205.1, XP_005109765.1, XP_005109839.1, XP_005109840.1, XP_005109846.2, XP_005109938.1, XP_005109960.2, XP_005110266.2, XP_005111713.1, XP_005111903.1, XP_005112075.2, XP_005112105.1, XP_005112141.3, XP_005112142.1, XP_005112933.2, XP_005113243.1, XP_005113289.1, XP_005113351.1, XP_005113467.2, XP_012935010.2, XP_012935711.2, XP_012935938.1, XP_012936087.2, XP_012936093.1, XP_012936432.1, XP_012936437.1, XP_012936570.1, XP_012936581.1, XP_012936600.2, XP_012936642.1, XP_012936733.1, XP_012937503.2, XP_012937504.2, XP_012937505.1, XP_012937517.2, XP_012937651.1, XP_012937955.2, XP_012938268.2, XP_012938688.1, XP_012938724.2, XP_012938820.1, XP_012938821.1, XP_012938822.1, XP_012939711.2, XP_012940353.1, XP_012940678.1, XP_012940941.1, XP_012941287.1, XP_012941555.2, XP_012941978.2, XP_012942296.1, XP_012942422.2, XP_012942620.2, XP_012942656.1, XP_012942961.1, XP_012943196.1, XP_012943371.1, XP_012943825.1, XP_012943835.2, XP_012944158.1, XP_012945112.1, XP_012945154.1, XP_012945265.1, XP_012945309.2, XP_012945676.2, XP_012945801.1, XP_012945939.1, XP_012945960.1, XP_012946117.1, XP_012946935.1, XP_035824307.1, XP_035824308.1, XP_035824309.1, XP_035824310.1, XP_035824376.1, XP_035824522.1, XP_035824576.1, XP_035824636.1, XP_035824888.1, XP_035825464.1, XP_035825608.1, XP_035825914.1, XP_035825956.1, XP_035825965.1, XP_035826422.1, XP_035826441.1, XP_035826778.1, XP_035826903.1, XP_035827013.1, XP_035827015.1, XP_035827385.1, XP_035827454.1, XP_035827689.1, XP_035827756.1, XP_035827820.1, XP_035828320.1, XP_035828344.1, XP_035828345.1, XP_035828452.1, XP_035828495.1, XP_035828515.1, XP_035828632.1, XP_035828809.1, XP_035829259.1, XP_035829272.1, XP_035829273.1, XP_035829274.1, XP_035829491.1, XP_035829508.1, XP_035829623.1, XP_035829679.1"
Immune receptor	lectins	Fucolectin	F-type lectins	5	5	"LOC101861054, LOC101863833, LOC106011541, LOC106012254, LOC118477646"	"XP_005102072.1, XP_005104662.1, XP_012937037.1, XP_012940081.1, XP_035825519.1"
Immune receptor	lectins	Fibrinogen domain containing protein	FBGDC	96	106	"LOC100533300, LOC100533436, LOC101852441, LOC101852892, LOC101860861, LOC101854231, LOC101860876, LOC101854313, LOC101854483, LOC101854703, LOC101863655, LOC101863334, LOC101851487, LOC101847813, LOC101852923, LOC101845689, LOC101861282, LOC101859017, LOC101859244, LOC101863026, LOC101861815, LOC101852631, LOC101849539, LOC101858496, LOC101846430, LOC101861512, LOC101846078, LOC101851505, LOC101857954, LOC101846824, LOC101859028, LOC101851592, LOC101853403, LOC101859500, LOC101860270, LOC101860517, LOC101862750, LOC101848237, LOC101857058, LOC101859270, LOC101860691, LOC101864097, LOC101846539, LOC101858224, LOC101855689, LOC101856144, LOC101864580, LOC101854228, LOC101853436, LOC101859078, LOC101844977, LOC101853607, LOC106011178, LOC101864679, LOC106011388, LOC101855093, LOC101849841, LOC101847489, LOC101860737, LOC106011008, LOC101848524, LOC101845856, LOC101857958, LOC101858421, LOC106012304, LOC101860267, LOC101863458, LOC101845487, LOC101848229, LOC106012790, LOC101853576, LOC106012883, LOC106012949, LOC106012982, LOC101862010, LOC106013257, LOC106013377, LOC101850768, LOC101847790, LOC106014180, LOC101851330, LOC101851107, LOC101844995, LOC118477634, LOC101853086, LOC101857651, LOC101858190, LOC101857492, LOC101857728, LOC118478564, LOC118478610, LOC101864337, LOC118478645, LOC101856996, LOC118479024, LOC118479051"	"NP_001191528.1, NP_001191643.1, XP_005089212.1, XP_005089771.1, XP_005089772.1, XP_005089804.1, XP_005091657.2, XP_005093328.1, XP_005093742.1, XP_005094094.2, XP_005094095.1, XP_005094492.2, XP_005095103.1, XP_005095222.2, XP_005095801.1, XP_005097612.2, XP_005097751.1, XP_005098851.1, XP_005099182.1, XP_005099183.1, XP_005099200.1, XP_005099538.1, XP_005099665.1, XP_005099729.1, XP_005099766.2, XP_005099875.1, XP_005100635.2, XP_005100737.1, XP_005101182.1, XP_005101289.3, XP_005102272.1, XP_005102687.1, XP_005103923.1, XP_005103924.1, XP_005104278.1, XP_005104470.1, XP_005104473.1, XP_005105429.1, XP_005105877.1, XP_005107517.2, XP_005108235.1, XP_005108417.1, XP_005108423.2, XP_005109459.1, XP_005109898.2, XP_005111093.2, XP_005111820.1, XP_005111822.1, XP_005112197.2, XP_005113021.3, XP_005113092.1, XP_005113499.1, XP_005113520.2, XP_012935327.1, XP_012935342.1, XP_012936118.1, XP_012936278.2, XP_012936356.1, XP_012937291.1, XP_012937330.2, XP_012937602.1, XP_012938134.1, XP_012938300.2, XP_012938614.1, XP_012938811.1, XP_012939566.1, XP_012940204.1, XP_012940211.2, XP_012940328.1, XP_012940890.1, XP_012941890.1, XP_012942163.2, XP_012942175.1, XP_012942218.2, XP_012942222.1, XP_012942560.1, XP_012942826.1, XP_012942943.1, XP_012943703.1, XP_012943904.1, XP_012944308.1, XP_012944383.2, XP_012945439.2, XP_012946182.2, XP_012946240.2, XP_012946746.1, XP_035824253.1, XP_035824276.1, XP_035824778.1, XP_035824779.1, XP_035825483.1, XP_035825484.1, XP_035825667.1, XP_035826276.1, XP_035826363.1, XP_035826392.1, XP_035826637.1, XP_035826638.1, XP_035828307.1, XP_035828431.1, XP_035828532.1, XP_035828538.1, XP_035828634.1, XP_035829198.1, XP_035829471.1, XP_035829520.1"
Immune receptor	lectins	Galectin domain containg proteins	Galectin	5	7	"LOC101852778, LOC101856671, LOC101856665, LOC101859875, LOC106013027"	"XP_005102039.2, XP_005102053.3, XP_012938790.1, XP_012940845.1, XP_012943121.1, XP_035826036.1, XP_035826037.1"
Immune receptor	lectins	H-type lectins	H-type lectin	5	5	"LOC101855237, LOC101859099, LOC101863352, LOC101862976, LOC118477875"	"XP_005092867.1, XP_005097723.1, XP_005101068.3, XP_005108778.2, XP_035826322.1"
Immune receptor	lectins	immunoglobulin lectins	I-type lectins	100	151	"LOC100533421, LOC100533220, LOC101856481, LOC101857847, LOC101856773, LOC101859905, LOC101857463, LOC101846190, LOC101847935, LOC101854695, LOC101850784, LOC101848339, LOC101852085, LOC101862789, LOC101860157, LOC101852916, LOC101852682, LOC101850886, LOC101850801, LOC101858501, LOC101849468, LOC101849621, LOC101861213, LOC101853799, LOC101854027, LOC101864309, LOC101861905, LOC101847129, LOC101852646, LOC101854974, LOC101852117, LOC101849793, LOC101861338, LOC101845381, LOC101847557, LOC101854312, LOC101847865, LOC106011386, LOC101861573, LOC101848960, LOC101859562, LOC101859779, LOC101850858, LOC101847487, LOC101859781, LOC106011661, LOC101851407, LOC101853092, LOC106012065, LOC101855346, LOC101850012, LOC101846660, LOC101848671, LOC106012373, LOC101857736, LOC101853021, LOC101852563, LOC101859429, LOC101860678, LOC101850985, LOC101858210, LOC101851291, LOC101857206, LOC101855748, LOC101859510, LOC101856216, LOC101862074, LOC101847382, LOC101853652, LOC101862461, LOC101845205, LOC106011002, LOC101857158, LOC106013740, LOC101862316, LOC101862768, LOC106014014, LOC106014024, LOC101864124, LOC101850775, LOC106014107, LOC101856787, LOC101858479, LOC101859091, LOC101850947, LOC101849201, LOC101857409, LOC101845775, LOC106012279, LOC101860439, LOC101852054, LOC101862613, LOC118478655, LOC101858140, LOC101846321, LOC101845892, LOC101855762, LOC101855990, LOC101851695, LOC101860071"	"NP_001191400.1, NP_001191466.1, NP_001297427.1, XP_005089888.2, XP_005089977.1, XP_005089978.1, XP_005089979.1, XP_005090873.3, XP_005090949.1, XP_005091619.1, XP_005092058.3, XP_005092089.2, XP_005093543.1, XP_005094335.2, XP_005094527.1, XP_005094528.1, XP_005094529.1, XP_005094748.2, XP_005095172.1, XP_005095174.1, XP_005095176.1, XP_005095177.1, XP_005095739.1, XP_005095904.1, XP_005097687.1, XP_005098028.2, XP_005100621.2, XP_005100670.1, XP_005100671.1, XP_005100672.1, XP_005100673.1, XP_005100674.1, XP_005100675.1, XP_005100676.1, XP_005100677.1, XP_005100752.1, XP_005100973.2, XP_005101358.1, XP_005101359.1, XP_005101746.1, XP_005104480.2, XP_005104508.2, XP_005105834.1, XP_005105845.2, XP_005106770.1, XP_005107442.1, XP_005112272.1, XP_005112273.1, XP_005112979.2, XP_005113601.1, XP_012934941.1, XP_012934943.1, XP_012936093.1, XP_012936245.1, XP_012936437.1, XP_012936570.1, XP_012936767.2, XP_012936768.1, XP_012936781.2, XP_012937103.1, XP_012937137.1, XP_012937519.1, XP_012937883.1, XP_012938683.1, XP_012939220.1, XP_012939221.1, XP_012939231.1, XP_012939286.1, XP_012939301.1, XP_012939482.1, XP_012939694.1, XP_012940600.1, XP_012940620.1, XP_012941023.1, XP_012941575.2, XP_012941579.1, XP_012941790.2, XP_012942031.1, XP_012942522.1, XP_012942529.1, XP_012942646.1, XP_012942941.1, XP_012943167.1, XP_012943168.1, XP_012943169.1, XP_012943284.1, XP_012943814.2, XP_012944233.1, XP_012944719.1, XP_012944909.2, XP_012945051.1, XP_012945307.1, XP_012945452.1, XP_012945453.2, XP_012945737.1, XP_012945800.1, XP_012946069.1, XP_012946459.1, XP_012946474.2, XP_012946487.1, XP_012946540.1, XP_012946609.1, XP_035824248.1, XP_035824249.1, XP_035824317.1, XP_035824318.1, XP_035824319.1, XP_035824320.1, XP_035824321.1, XP_035824322.1, XP_035824323.1, XP_035824324.1, XP_035824325.1, XP_035824326.1, XP_035824748.1, XP_035824848.1, XP_035824853.1, XP_035824925.1, XP_035825143.1, XP_035825607.1, XP_035825972.1, XP_035826045.1, XP_035826218.1, XP_035826219.1, XP_035826244.1, XP_035826245.1, XP_035826246.1, XP_035826247.1, XP_035826248.1, XP_035826249.1, XP_035826250.1, XP_035826251.1, XP_035826420.1, XP_035826508.1, XP_035826509.1, XP_035826510.1, XP_035826608.1, XP_035827784.1, XP_035828509.1, XP_035828569.1, XP_035828570.1, XP_035828899.1, XP_035828918.1, XP_035828919.1, XP_035829111.1, XP_035829113.1, XP_035829177.1, XP_035829179.1, XP_035829295.1, XP_035829515.1, XP_035829868.1"
Immune receptor	lectins	Legume-like lectin	L-type lectin	2	2	"LOC101854301, LOC106011450"	"XP_005089869.1, XP_012936628.1"
Immune receptor	lectins	_-mannosidase-like protein	M-type lectin	6	6	"LOC101855066, LOC101849317, LOC101845263, LOC101848911, LOC101859302, LOC106013838"	"XP_005089315.1, XP_005105902.1, XP_005106053.1, XP_005106072.1, XP_012945136.1, XP_012946036.1"
Immune receptor	lectins	mannose 6-phosphate receptor homology domain containing	P-type lectin	13	16	"LOC101847235, LOC101863397, LOC101848581, LOC101857962, LOC101862441, LOC101846097, LOC101853507, LOC101853744, LOC101845908, LOC101852490, LOC101854964, LOC101852970, LOC101856429"	"XP_005090113.1, XP_005090114.1, XP_005090179.1, XP_005096829.1, XP_005102936.1, XP_005106471.1, XP_005109119.1, XP_005111229.1, XP_005111230.1, XP_012936120.2, XP_012940578.1, XP_012940679.1, XP_012940789.1, XP_012945138.1, XP_035824780.1, XP_035825827.1"
Immune receptor	lectins	Pentraxins	Pentraxins	4	6	"LOC101853079, LOC101851711, LOC106010981, LOC101861411"	"XP_005096505.3, XP_012934800.1, XP_012939834.1, XP_005090601.1, XP_005090602.1, XP_005090603.1"
Immune receptor	lectins	Ricin-type lectins	R-type lectins	21	24	"LOC101847005, LOC101847230, LOC101848629, LOC101847321, LOC101863351, LOC101855965, LOC101857352, LOC101855604, LOC101856252, LOC101858782, LOC101856906, LOC101848598, LOC101863072, LOC101850265, LOC101851881, LOC101856765, LOC101850684, LOC101856167, LOC101851378, LOC101853201, LOC118477132"	"XP_005089457.1, XP_005089459.1, XP_005090380.1, XP_005094680.1, XP_005100983.1, XP_005100984.1, XP_005104633.1, XP_005105766.2, XP_005110523.1, XP_012935809.1, XP_012938182.1, XP_012939723.1, XP_012940008.1, XP_012940772.2, XP_012941011.1, XP_012941226.1, XP_012944622.1, XP_012944657.1, XP_012944688.1, XP_012946869.1, XP_035824697.1, XP_035827719.1, XP_035828687.1, XP_035829582.1"
Immune receptor	lectins	SUEL lectins	SUEL lectin	3	3	"LOC101858932, LOC101863218, LOC101864702"	"XP_005096618.2, XP_005109201.2, XP_012941593.2"
Immune receptor	LRR-domain containing protein	Leucine rich repeate and immunoglobin domain containing protein	LRR-IG	10	10	"LOC101853662, LOC101846190, LOC101852916, LOC101847129, LOC101856934, LOC106011386, LOC101845161, LOC101850012, LOC101850985, LOC101859091"	"XP_005090314.1, XP_005091619.1, XP_005095739.1, XP_005104508.2, XP_005110108.1, XP_012936245.1, XP_012936705.1, XP_012939482.1, XP_012942522.1, XP_035824848.1"
Immune receptor	LRR-domain containing protein	Leucine rich repeat containg protein	LRR-other	221	310	"LRRTK, trk, LOC101864424, LOC101856701, LOC101849974, LOC101854681, LOC101853205, LOC101862623, LOC101847546, LOC101849742, LOC101847786, LOC101859379, LOC101847792, LOC101848018, LOC101851012, LOC101852985, LOC101845981, LOC101862166, LOC101845069, LOC101863080, LOC101845070, LOC101861871, LOC101848944, LOC101852829, LOC101845072, LOC101845153, LOC101849358, LOC101852838, LOC101855476, LOC101853844, LOC101857867, LOC101853774, LOC101863500, LOC101845313, LOC101856253, LOC101862262, LOC101850797, LOC101849921, LOC101859929, LOC101861118, LOC101861358, LOC101855184, LOC101857483, LOC101861361, LOC101862345, LOC101860410, LOC101863265, LOC101859100, LOC101863896, LOC101845092, LOC101847956, LOC101845325, LOC101847725, LOC101864225, LOC101861285, LOC101847039, LOC101851581, LOC101852479, LOC101851808, LOC101862951, LOC101864527, LOC101861211, LOC101863109, LOC101862587, LOC101854874, LOC101857883, LOC101857723, LOC101853861, LOC101857122, LOC101849937, LOC101853100, LOC101845858, LOC101847048, LOC101858116, LOC101855654, LOC101847594, LOC101858199, LOC101847511, LOC101850971, LOC101859655, LOC101860032, LOC101853873, LOC101855660, LOC101862667, LOC101858048, LOC101850975, LOC101858352, LOC101859724, LOC101862134, LOC101861384, LOC101854975, LOC101859504, LOC101850833, LOC101858571, LOC101852262, LOC101864548, LOC101854118, LOC101850438, LOC101849879, LOC101852048, LOC101858360, LOC101859200, LOC101854448, LOC101859521, LOC101858308, LOC101859602, LOC101858367, LOC101857072, LOC101863470, LOC101858759, LOC101862918, LOC101845971, LOC101861255, LOC101862699, LOC101848636, LOC101853434, LOC101857767, LOC101852005, LOC101846062, LOC106011124, LOC101847412, LOC101857628, LOC101860008, LOC101852164, LOC101849603, LOC101856014, LOC106011434, LOC106011444, LOC101846343, LOC101856017, LOC101859853, LOC101846503, LOC106011810, LOC106011823, LOC101860377, LOC101856515, LOC106010988, LOC106012090, LOC101858319, LOC101860747, LOC101846010, LOC101861375, LOC101852492, LOC101863917, LOC101847829, LOC106012464, LOC101860430, LOC101850191, LOC106012570, LOC106012618, LOC101847515, LOC101861549, LOC101861307, LOC101863208, LOC101855441, LOC106012847, LOC101853117, LOC101852718, LOC101845644, LOC101848076, LOC101855055, LOC101862901, LOC101855057, LOC101855145, LOC101862702, LOC101862688, LOC106013706, LOC101860379, LOC101849896, LOC101846265, LOC101853514, LOC101846398, LOC101847699, LOC101857541, LOC101863481, LOC101845747, LOC106013894, LOC106014113, LOC106014125, LOC106014173, LOC101861420, LOC101847085, LOC101863958, LOC106014229, LOC101857231, LOC101856559, LOC101863242, LOC118477150, LOC118477475, LOC118477477, LOC101857020, LOC101862498, LOC118477628, LOC101863743, LOC101852929, LOC118477167, LOC101860504, LOC101851315, LOC118477987, LOC101852555, LOC101859421, LOC101862429, LOC101855510, LOC101863530, LOC101850502, LOC101859196, LOC101851762, LOC118478498, LOC101859597, LOC101857363, LOC118477114, LOC101862450, LOC101862454, LOC106013296, LOC118478843, LOC101862000, LOC101858593, LOC101848405, LOC101847633, LOC101864571, LOC118479193"	"NP_001232922.1, NP_001232923.1, XP_005088912.1, XP_005089144.1, XP_005089579.1, XP_005089685.1, XP_005089863.1, XP_005090003.1, XP_005090197.2, XP_005090385.1, XP_005090720.3, XP_005091324.1, XP_005091325.1, XP_005091451.1, XP_005091452.1, XP_005091453.1, XP_005091454.1, XP_005091455.1, XP_005091553.1, XP_005091554.1, XP_005091563.1, XP_005091618.1, XP_005091682.1, XP_005091693.1, XP_005091696.1, XP_005091866.1, XP_005091874.1, XP_005091949.1, XP_005091950.1, XP_005092238.2, XP_005092428.1, XP_005092480.1, XP_005092481.1, XP_005092482.1, XP_005093169.1, XP_005093982.2, XP_005094358.1, XP_005094360.1, XP_005094455.1, XP_005094621.3, XP_005094816.1, XP_005094888.1, XP_005094889.1, XP_005094892.1, XP_005095189.1, XP_005095190.1, XP_005095281.1, XP_005095414.1, XP_005095415.1, XP_005096020.1, XP_005096406.2, XP_005096664.1, XP_005096709.1, XP_005096714.1, XP_005096715.1, XP_005096936.1, XP_005097111.1, XP_005097382.1, XP_005097571.1, XP_005097729.1, XP_005097730.1, XP_005097925.1, XP_005098065.1, XP_005098087.2, XP_005098091.2, XP_005098195.1, XP_005098196.1, XP_005098353.1, XP_005098706.2, XP_005098954.1, XP_005098955.1, XP_005099272.1, XP_005099273.1, XP_005099297.1, XP_005099574.1, XP_005099575.1, XP_005099742.1, XP_005099902.1, XP_005099951.2, XP_005099958.1, XP_005100287.3, XP_005100295.1, XP_005100377.1, XP_005100863.1, XP_005100877.1, XP_005101046.1, XP_005101190.1, XP_005101194.1, XP_005101286.1, XP_005101770.1, XP_005101872.1, XP_005102093.1, XP_005102274.2, XP_005102414.1, XP_005102415.1, XP_005102416.1, XP_005102496.1, XP_005102815.2, XP_005103106.1, XP_005103230.2, XP_005103245.1, XP_005103461.2, XP_005103628.2, XP_005103771.1, XP_005103854.2, XP_005104315.1, XP_005104463.3, XP_005104613.1, XP_005104728.1, XP_005105166.1, XP_005105167.1, XP_005105168.1, XP_005105169.1, XP_005105700.1, XP_005105872.2, XP_005106094.2, XP_005106194.1, XP_005106195.1, XP_005106244.1, XP_005106245.1, XP_005106247.1, XP_005106249.1, XP_005106250.1, XP_005106251.1, XP_005106281.1, XP_005106282.1, XP_005106336.1, XP_005106337.1, XP_005106338.1, XP_005107503.1, XP_005107632.1, XP_005107872.1, XP_005107954.2, XP_005108046.2, XP_005108069.1, XP_005108158.1, XP_005109420.2, XP_005109953.2, XP_005110115.2, XP_005110536.1, XP_005110773.2, XP_005111171.2, XP_005111194.2, XP_005111999.1, XP_005112105.1, XP_005112116.1, XP_005112518.1, XP_005112686.1, XP_005112705.2, XP_005112933.2, XP_005113269.3, XP_012934597.2, XP_012934999.1, XP_012935010.2, XP_012935108.2, XP_012935293.2, XP_012935302.1, XP_012935303.1, XP_012935703.1, XP_012935762.2, XP_012936162.1, XP_012936355.2, XP_012936544.2, XP_012936600.2, XP_012936606.1, XP_012936780.1, XP_012936814.2, XP_012937481.1, XP_012937482.1, XP_012937853.1, XP_012937881.1, XP_012937962.1, XP_012938202.1, XP_012938274.1, XP_012938360.1, XP_012938640.1, XP_012939033.1, XP_012939288.1, XP_012939290.2, XP_012939451.1, XP_012939544.1, XP_012939545.1, XP_012939546.1, XP_012939547.1, XP_012939659.1, XP_012939926.1, XP_012940459.1, XP_012940486.1, XP_012940736.1, XP_012940737.1, XP_012940838.1, XP_012940950.1, XP_012940951.1, XP_012940952.1, XP_012940953.1, XP_012940958.1, XP_012940966.1, XP_012941284.2, XP_012941353.1, XP_012941355.1, XP_012941541.2, XP_012941555.2, XP_012941590.1, XP_012941933.1, XP_012941992.1, XP_012942132.1, XP_012942351.1, XP_012942352.1, XP_012942369.1, XP_012942460.2, XP_012942481.1, XP_012942489.2, XP_012942856.1, XP_012943024.1, XP_012943086.1, XP_012943786.1, XP_012943917.1, XP_012943977.1, XP_012944090.1, XP_012944138.1, XP_012944533.1, XP_012944566.1, XP_012945597.1, XP_012945636.1, XP_012945654.1, XP_012945729.1, XP_012945758.1, XP_012945772.1, XP_012945808.1, XP_012945812.1, XP_012945813.1, XP_012945969.1, XP_012945974.1, XP_012945975.1, XP_012946107.1, XP_012946112.1, XP_012946180.1, XP_012946618.1, XP_012946637.1, XP_012946704.1, XP_012946748.1, XP_012946788.1, XP_012946932.2, XP_012946947.1, XP_035824093.1, XP_035824260.1, XP_035824291.1, XP_035824307.1, XP_035824308.1, XP_035824309.1, XP_035824310.1, XP_035824637.1, XP_035824638.1, XP_035824639.1, XP_035824640.1, XP_035824641.1, XP_035824901.1, XP_035824903.1, XP_035824910.1, XP_035825246.1, XP_035825357.1, XP_035825473.1, XP_035825487.1, XP_035825545.1, XP_035825748.1, XP_035825802.1, XP_035826284.1, XP_035826406.1, XP_035826595.1, XP_035826703.1, XP_035826744.1, XP_035826749.1, XP_035826873.1, XP_035826914.1, XP_035827301.1, XP_035827364.1, XP_035827423.1, XP_035827424.1, XP_035827464.1, XP_035827589.1, XP_035827728.1, XP_035827729.1, XP_035827759.1, XP_035827944.1, XP_035827959.1, XP_035828104.1, XP_035828108.1, XP_035828109.1, XP_035828110.1, XP_035828131.1, XP_035828220.1, XP_035828221.1, XP_035828237.1, XP_035828344.1, XP_035828345.1, XP_035828495.1, XP_035828534.1, XP_035828683.1, XP_035828800.1, XP_035829061.1, XP_035829074.1, XP_035829293.1, XP_035829294.1, XP_035829356.1, XP_035829395.1, XP_035829412.1, XP_035829682.1, XP_035829719.1, XP_035829740.1, XP_035829819.1"
